SampleID	Group
FP1705100059DN01	G2&G3
FP1705100061DN01	G4
FP1705100065DN01	G2&G3
FP1705100067DN01	G2&G3
FP1705100071DN01	G2&G3
FP1705100073DN01	G2&G3
FP1705100077DN01	G4
FP1705100079DN01	G4
FP1705100081DN01	G2&G3
FP1705100089DN01	G2&G3
FP1705100091DN01	G4
FP1705100093DN01	G2&G3
FP1705100113DN01	G4
FP1705100119DN01	G4
FP1705100121DN01	G4
FP1705100125DN01	G4
FP1705100131DN01	G4
FP1705100137DN01	G4
FP1705100143DN01	G4
FP1705100161LD02	G4
FP1705220177LD01	G2&G3
FP1705220179LD01	G2&G3
FP1705220181LD01	G2&G3
FP1705220182LD01	G2&G3
FP1705220184LD01	G2&G3
FP1705220185LD01	G2&G3
FP1705220186LD01	G2&G3
FP1705220187LD01	G2&G3
FP1705220188LD01	G2&G3
FP1705220189LD01	G2&G3
FP1705220190LD01	G4
FP1705220191LD01	G4
FP1705220196LD01	G4
FP1705220202LD01	G4
FP1705220203LD01	G4
FP1705220206LD01	G4
FP1705220208LD01	G4
FP1705220209LD01	G4
FP1705220210LD01	G4
FP1705220213LD01	G4
FP1705220215LD01	G4
FP1706060153LD01	G4
FP1706060155LD01	G2&G3
FP1706060156LD01	G4
FP1706060159LD01	G2&G3
FP1706060160LD01	G2&G3
FP1706060161LD01	G2&G3
FP1706060162LD01	G4
FP1706060163LD01	G2&G3
FP1706060165LD01	G4
FP1706060167LD01	G4
FP1706060169LD01	G4
FP1706060170LD01	G4
FP1706060171LD01	G4
FP1706060172LD01	G4
FP1706060175LD01	G2&G3
FP1706060176LD01	G2&G3
FP1706060177LD01	G4
FP1706060178LD01	G2&G3
FP1706060179LD01	G2&G3
FP1706060180LD01	G4
FP1706060185LD01	G4
FP1706060188LD01	G2&G3
FP1706060191LD01	G2&G3
FP1706060192LD01	G4
FP1706060193LD01	G2&G3
FP1706060194LD01	G2&G3
FP1706060195LD01	G4
FP1706060196LD01	G4
FP1706060198LD01	G4
FP1706060199LD01	G4
FP1706060200LD01	G4
FP1706060201LD01	G2&G3
FP1706060202LD01	G2&G3
FP1706060203LD01	G4
FP1706060204LD01	G4
FP1706060205LD01	G4
FP1706060206LD01	G4
FP1706060208LD01	G4
FP1706060210LD01	G4
FP1706060212LD01	G4
FP1706060216LD01	G4
FP1706060217LD01	G4
FP1706060218LD01	G4
FP1706060223LD01	G4
FP1706060224LD01	G4
FP1706060225LD01	G4
FP1706060226LD01	G4
FP1706060228LD01	G4
FP1706060229LD01	G4
FP1707040176LD01	G4
FP1707040179LD01	G4
FP1707180231LD01	G4
TI1706140115LD02	G4
TI1706140119LD01	G2&G3
TI1706140121LD01	G4
TI1706140123LD01	G4
TI1706140133LD01	G4
TI1706140137LD02	G4
TI1706140141LD01	G4
TI1706140147LD01	G4
TI1706140149LD01	G4
TI1706140153LD01	G4
TI1706140165LD01	G4
TI1706140175LD01	G4
TI1706140177LD01	G4
TI1706140179LD01	G4
TI1706140181LD01	G4
TI1706140183LD01	G4
TI1706140185LD01	G4
TI1706140187LD01	G4
TI1706140189LD01	G4
TI1706140191LD01	G4
TI1706140193LD01	G4
WGC106522DB	G4
WGC106526D	G4
WGC106528D	G4
WGC106542D	G4
