Hugo_Symbol	Chromosome
TP53	chr17
TTN	chr2
MUC16	chr19
CSMD3	chr8
FAT1	chr4
FLG	chr1
NOTCH1	chr9
MUC12	chr7
LRP1B	chr2
KMT2D	chr12
MUC17	chr7
PCLO	chr7
RYR2	chr1
TDG	chr12
HRNR	chr1
USH2A	chr1
FSIP2	chr2
PIK3CA	chr3
MUC6	chr11
ZNF750	chr17
DMD	chrX
EPPK1	chr8
FBXW7	chr4
PKHD1L1	chr8
CDC27	chr17
DNAH5	chr5
MUC19	chr12
NBPF1	chr1
SYNE1	chr6
DST	chr6
KMT2C	chr7
MACF1	chr1
FAT2	chr5
FAT4	chr4
FCGBP	chr19
GPR98	chr5
MUC2	chr11
ZNF804B	chr7
FAT3	chr11
SPTA1	chr1
EYS	chr6
NAV3	chr12
NEB	chr2
SVIL	chr10
ZNF717	chr3
AHNAK	chr11
HERC1	chr15
THSD7A	chr7
CDKN2A	chr9
DNAH11	chr7
EP300	chr22
HYDIN	chr16
IGFN1	chr1
KRT5	chr12
RELN	chr7
SI	chr3
SYNE2	chr14
UNC13C	chr15
ZFHX4	chr8
APOB	chr2
HECTD4	chr12
MUC5B	chr11
PKHD1	chr6
VPS13B	chr8
ASPM	chr1
BCR	chr22
DCHS2	chr4
HERC2	chr15
MDN1	chr6
RYR3	chr15
ANKRD36	chr2
CSMD1	chr8
HMCN1	chr1
NFE2L2	chr2
OR13C5	chr9
PCSK5	chr9
DNAH8	chr6
KIAA1109	chr4
MYH9	chr22
PABPC1	chr8
RP1L1	chr8
SCN1A	chr2
CNTNAP5	chr2
COL12A1	chr6
COL6A5	chr3
FAM135B	chr8
NOTCH3	chr19
OBSCN	chr1
SPEN	chr1
SUSD2	chr22
BCLAF1	chr6
DNAH3	chr16
KDM6A	chrX
LAMA3	chr18
MYH4	chr17
RB1	chr13
RIF1	chr2
RP11-683L23.1	chr18
TAS2R46	chr12
USP34	chr2
ABCA13	chr7
ANKRD36C	chr2
AQP7	chr9
ASH1L	chr1
C5orf42	chr5
COL11A1	chr1
CREBBP	chr16
DNAH9	chr17
ERBB4	chr2
LILRA6	chr19
LRP1	chr12
NALCN	chr13
NBPF14	chr1
OR11H12	chr14
PRSS1	chr7
STARD9	chr15
TENM1	chrX
TGFBR2	chr3
ZFHX3	chr16
ZNF208	chr19
CD163L1	chr12
COL22A1	chr8
CUBN	chr10
DCC	chr18
DNAH10	chr12
DNAH7	chr2
DNHD1	chr11
DYNC2H1	chr11
LAMA2	chr6
LRP2	chr2
MDGA2	chr14
MGAM	chr7
MROH2B	chr5
NBPF20	chr1
PDZD2	chr5
PLEC	chr8
PLIN4	chr19
POM121	chr7
PTPRD	chr9
RIMS1	chr6
SAMD9L	chr7
TDRD15	chr2
ABCB5	chr7
ANK2	chr4
ANKRD30B	chr18
BIRC6	chr2
CCDC168	chr13
COL6A3	chr2
CSMD2	chr1
DNAH6	chr2
FRG2C	chr3
HECW2	chr2
LAMA1	chr18
NCOR1	chr17
NOTCH2	chr1
PCMTD1	chr8
PDE10A	chr6
PEG3	chr19
RYR1	chr19
UNC5C	chr4
UNC80	chr2
WASH4P	chr16
AHCTF1	chr1
ANKRD30A	chr10
